"Mean","Variance"
42.0903274796587,1.85560451368637
74.2276188212,2.29570159992715
74.9703494578367,1.01100633519367
72.4217337215533,0.422633952284275
59.42744157863,0.870611288324
57.37317160188,2.4819407814702
25.861041716151,0.152897711532516
26.949206703115,2.11468683550621
58.8878298502367,1.9139813643526
24.892732917857,0.220432679182914
26.3478917278113,0.649369826028494
23.8051942706297,1.70750443314594
73.8476944214533,4.68607242520904
74.4082369703233,2.72124905928006
73.05396483797,1.82274718513482
43.1187001334767,0.932677942657285
25.1132320890923,0.330253333816051
25.3529512764607,2.7147128936695
25.8358179850233,2.21568438443248
59.1882846993167,4.6945966844098
42.8680508792533,0.752320915694668
73.9190573226533,0.988846496437844
72.84662965078,2.77616328284555
74.6704360271067,6.28406421758202
26.753805950583,1.34045201637441
26.399286990378,0.640468888910512
25.285253285234,1.61794360315749
58.43403133389,2.84934045386049
26.9286073122327,1.12373610856489
24.8451123732233,0.486894370764435
59.8944225795067,1.99566229602948
60.97349845115,1.88542913154787
42.3275146364723,1.98129337193554
77.4898088696267,3.60292899611177
78.0614215515267,1.43840489951774
77.3871749094933,1.2201972294728
24.5035055603267,0.384604459089571
26.0237839104453,0.903821123338956
58.16372659585,0.838916469119051
59.3156958257767,1.77431125372912
